e仔白糖棒冰	46g×80支	46g×80支	e仔白糖棒冰	e仔白糖棒冰	冰淇淋	e仔	e仔白糖棒冰46g×80支
百家得大有来头	65g×40支	65g×40支	百家得大有来头圆头脆甜筒雪糕	百家得圆头脆甜筒	冰淇淋	百家得	百家得大有来头圆头脆甜筒雪糕65g×40支
百家得冻酸奶	1*40	65g×40支	百家得冻酸奶酸奶草莓口味雪糕	百家得冻酸奶(酸奶草莓)	冰淇淋	百家得	百家得冻酸奶酸奶草莓口味雪糕65g×40支
百家得焦小糖	1*40	70g×40支	百家得焦小糖焦糖口味雪糕	百家得焦小糖(焦糖)	冰淇淋	百家得	百家得焦小糖焦糖口味雪糕70g×40支
百家得焦小糖	1×70g×40支	70g×40支	百家得焦小糖焦糖口味雪糕	百家得焦小糖(焦糖)	冰淇淋	百家得	百家得焦小糖焦糖口味雪糕70g×40支
百家得绿豆奶糕	1*40	60g×40支	百家得绿豆奶糕绿豆口味雪糕	百家得绿豆奶糕(绿豆)	冰淇淋	百家得	百家得绿豆奶糕绿豆口味雪糕60g×40支
百家得奶糕	1*40	60g×40支	百家得奶糕牛奶口味雪糕	百家得奶糕(牛奶)	冰淇淋	百家得	百家得奶糕牛奶口味雪糕60g×40支
百家得圣代杯	1*12	100g×12杯	百家得巧依浓圣代杯巧克力口味(杯)	百家得圣代杯(巧克力)杯装	冰淇淋	百家得	百家得巧依浓圣代杯巧克力口味(杯)100g×12杯
百家得蜜瓜雪糕	1×60g×40支	60g×40支	百家得蜜瓜雪糕	百家得雪糕(蜜瓜)	冰淇淋	百家得	百家得蜜瓜雪糕60g×40支
百家得牛奶	1*40	60g×40支	百家得牛奶口味雪糕	百家得雪糕(牛奶)	冰淇淋	百家得	百家得牛奶口味雪糕60g×40支
百家得牛奶雪糕	1×60g×40支	60g×40支	百家得牛奶口味雪糕	百家得雪糕(牛奶)	冰淇淋	百家得	百家得牛奶口味雪糕60g×40支
百家得巧克力	1*40	85g×40支	百家得巧克力口味雪糕	百家得雪糕(巧克力)	冰淇淋	百家得	百家得巧克力口味雪糕85g×40支
百利桶冰菠萝	1×6kg	6kg	百利菠萝口味冰淇淋(桶)	百利冰淇淋(菠萝)桶装	冰淇淋	百利	百利菠萝口味冰淇淋(桶)6kg
百利桶冰草莓	1×6kg	6kg	百利草莓口味冰淇淋(桶)	百利冰淇淋(草莓)桶装	冰淇淋	百利	百利草莓口味冰淇淋(桶)6kg
百利桶冰哈密瓜	1×6kg	6kg	百利哈密瓜口味冰淇淋(桶)	百利冰淇淋(哈密瓜)桶装	冰淇淋	百利	百利哈密瓜口味冰淇淋(桶)6kg
百利桶冰咖啡	1×6kg	6kg	百利咖啡口味冰淇淋(桶)	百利冰淇淋(咖啡)桶装	冰淇淋	百利	百利咖啡口味冰淇淋(桶)6kg
百利桶冰蓝莓	1×6kg	6kg	百利蓝莓口味冰淇淋(桶)	百利冰淇淋(蓝莓)桶装	冰淇淋	百利	百利蓝莓口味冰淇淋(桶)6kg
百利桶冰芒果	1×6kg	6kg	百利芒果口味冰淇淋(桶)	百利冰淇淋(芒果)桶装	冰淇淋	百利	百利芒果口味冰淇淋(桶)6kg
百利桶冰抹茶	1×6kg	6kg	百利抹茶口味冰淇淋(桶)	百利冰淇淋(抹茶)桶装	冰淇淋	百利	百利抹茶口味冰淇淋(桶)6kg
百利桶冰奶油	1×6kg	6kg	百利奶油口味冰淇淋(桶)	百利冰淇淋(奶油)桶装	冰淇淋	百利	百利奶油口味冰淇淋(桶)6kg
百利桶冰巧克力	1×6kg	6kg	百利巧克力口味冰淇淋(桶)	百利冰淇淋(巧克力)桶装	冰淇淋	百利	百利巧克力口味冰淇淋(桶)6kg
百利桶冰酸奶	1×6kg	6kg	百利酸奶口味冰淇淋(桶)	百利冰淇淋(酸奶)桶装	冰淇淋	百利	百利酸奶口味冰淇淋(桶)6kg
百利桶冰提拉米苏	1×6kg	6kg	百利提拉米苏口味冰淇淋(桶)	百利冰淇淋(提拉米苏)桶装	冰淇淋	百利	百利提拉米苏口味冰淇淋(桶)6kg
百利桶冰香草	1×6kg	6kg	百利香草口味冰淇淋(桶)	百利冰淇淋(香草)桶装	冰淇淋	百利	百利香草口味冰淇淋(桶)6kg
百利桶冰香芋	1×6kg	6kg	百利香芋口味冰淇淋(桶)	百利冰淇淋(香芋)桶装	冰淇淋	百利	百利香芋口味冰淇淋(桶)6kg
大庆草莓	1×75g×40支	80g×8支/包×5包	百星冷饮大庆草莓口味加料雪糕	百星冷饮大庆(草莓)	冰淇淋	百星冷饮	百星冷饮大庆草莓口味加料雪糕80g×8支/包×5包
大庆草莓口味雪糕80g×40支	1×80g×5袋×8支	80g×8支/包×5包	百星冷饮大庆草莓口味加料雪糕	百星冷饮大庆(草莓)	冰淇淋	百星冷饮	百星冷饮大庆草莓口味加料雪糕80g×8支/包×5包
百星大庆草莓雪糕80gx40支	1x80gx40支	80g×8支/包×5包	百星冷饮大庆草莓口味加料雪糕	百星冷饮大庆(草莓)	冰淇淋	百星冷饮	百星冷饮大庆草莓口味加料雪糕80g×8支/包×5包
大庆奶油	1×75g×40支	75g×8支/包×5包	百星冷饮大庆奶油口味雪糕	百星冷饮大庆(奶油)	冰淇淋	百星冷饮	百星冷饮大庆奶油口味雪糕75g×8支/包×5包
大庆奶油口味雪糕75g×40支	1×75g×5袋×8支	75g×8支/包×5包	百星冷饮大庆奶油口味雪糕	百星冷饮大庆(奶油)	冰淇淋	百星冷饮	百星冷饮大庆奶油口味雪糕75g×8支/包×5包
百星大庆奶油雪糕75gx40支	1x75gx40支	75g×8支/包×5包	百星冷饮大庆奶油口味雪糕	百星冷饮大庆(奶油)	冰淇淋	百星冷饮	百星冷饮大庆奶油口味雪糕75g×8支/包×5包
大庆牛奶	1×75g×40支	85g×8支/包×5包	百星冷饮大庆牛奶口味加料雪糕	百星冷饮大庆(牛奶)	冰淇淋	百星冷饮	百星冷饮大庆牛奶口味加料雪糕85g×8支/包×5包
大庆牛奶口味雪糕85g×40支	1×85g×5袋×8支	85g×8支/包×5包	百星冷饮大庆牛奶口味加料雪糕	百星冷饮大庆(牛奶)	冰淇淋	百星冷饮	百星冷饮大庆牛奶口味加料雪糕85g×8支/包×5包
百星大庆牛奶雪糕85gx40支	1x85gx40支	85g×8支/包×5包	百星冷饮大庆牛奶口味加料雪糕	百星冷饮大庆(牛奶)	冰淇淋	百星冷饮	百星冷饮大庆牛奶口味加料雪糕85g×8支/包×5包
大庆东北绿豆	1×65g×40支	65g×5支/包×8包	百星冷饮东北绿豆	百星冷饮东北绿豆	冰淇淋	百星冷饮	百星冷饮东北绿豆65g×5支/包×8包
大庆东北绿豆雪糕65g×40支	1×65g×8袋×5支	65g×5支/包×8包	百星冷饮东北绿豆	百星冷饮东北绿豆	冰淇淋	百星冷饮	百星冷饮东北绿豆65g×5支/包×8包
百星东北绿豆雪糕65gx40支	1x65gx40支	65g×5支/包×8包	百星冷饮东北绿豆	百星冷饮东北绿豆	冰淇淋	百星冷饮	百星冷饮东北绿豆65g×5支/包×8包
大庆黑玫瑰阿尔卑斯味	1×55g×8袋×40支	55g×5支/包×8包	百星冷饮黑玫瑰阿尔卑斯味雪糕	百星冷饮黑玫瑰(阿尔卑斯)	冰淇淋	百星冷饮	百星冷饮黑玫瑰阿尔卑斯味雪糕55g×5支/包×8包
大庆黑玫瑰咖啡味	1×55g×8袋×40支	55g×5支/包×8包	百星冷饮黑玫瑰咖啡味雪糕	百星冷饮黑玫瑰(咖啡)	冰淇淋	百星冷饮	百星冷饮黑玫瑰咖啡味雪糕55g×5支/包×8包
大庆花生牛奶糖雪糕62g×40支	1×62g×8盒×5支	62g×5支/包×8包	百星冷饮花牛奶糖花生牛奶雪糕	百星冷饮花牛奶糖(花生牛奶)	冰淇淋	百星冷饮	百星冷饮花牛奶糖花生牛奶雪糕62g×5支/包×8包
百星花牛奶糖雪糕62gx40支	1x62gx40支	62g×5支/包×8包	百星冷饮花牛奶糖花生牛奶雪糕	百星冷饮花牛奶糖(花生牛奶)	冰淇淋	百星冷饮	百星冷饮花牛奶糖花生牛奶雪糕62g×5支/包×8包
